Provinsi,Jumlah Sekolah SMP (Negeri),Jumlah Sekolah SMP (Swasta),Jumlah Sekolah SMP (Negeri+Swasta),Jumlah Guru SMP (Negeri),Jumlah Guru SMP (Swasta),Jumlah Guru SMP (Negeri+Swasta),Jumlah Murid SMP (Negeri),Jumlah Murid SMP (Swasta),Jumlah Murid SMP (Negeri+Swasta)
Aceh,906,422,1328,20396,3932,24328,158212,49752,207964
Sumatera Utara,1340,1369,2709,32531,13340,45871,414206,210929,625135
Sumatera Barat,676,189,865,15899,2247,18146,180460,23754,204214
Riau,889,420,1309,17399,4517,21916,210790,58348,269138
Jambi,559,161,720,10143,1521,11664,100620,21189,121809
Sumatera Selatan,905,558,1463,21357,4957,26314,290936,68346,359282
Bengkulu,380,80,460,7980,814,8794,76752,8799,85551
Lampung,710,773,1483,17269,7067,24336,246512,96309,342821
Kepulauan Bangka Belitung,164,74,238,3208,695,3903,55038,9733,64771
Kepulauan Riau,236,188,424,4481,2077,6558,76953,25475,102428
DKI Jakarta,293,775,1068,10213,9259,19472,211760,142994,354754
Jawa Barat,1993,4058,6051,55077,42062,97139,1175708,685056,1860764
Jawa Tengah,1771,1685,3456,51534,18095,69629,936459,282405,1218864
DI Yogyakarta,214,239,453,5564,3170,8734,92562,38629,131191
Jawa Timur,1737,3311,5048,48181,31707,79888,820294,421917,1242211
Banten,576,1046,1622,14140,9839,23979,287975,166231,454206
Bali,277,125,402,9446,1664,11110,161975,27024,188999
Nusa Tenggara Barat,606,487,1093,18569,4390,22959,139505,41062,180567
Nusa Tenggara Timur,1396,462,1858,26971,5408,32379,234939,73040,307979
Kalimantan Barat,1037,351,1388,14398,2749,17147,190808,44626,235434
Kalimantan Tengah,719,158,877,9403,1428,10831,87795,19368,107163
Kalimantan Selatan,522,111,633,8489,1170,9659,101088,13843,114931
Kalimantan Timur,459,258,717,8934,2357,11291,132865,32617,165482
Kalimantan Utara,157,41,198,2598,369,2967,29610,3867,33477
Sulawesi Utara,478,256,734,8489,1833,10322,72985,23655,96640
Sulawesi Tengah,735,148,883,11583,965,12548,101269,11296,112565
Sulawesi Selatan,1269,462,1731,25810,4240,30050,283404,53194,336598
Sulawesi Tenggara,699,96,795,14331,756,15087,107257,7711,114968
Gorontalo,313,31,344,4174,238,4412,38500,2340,40840
Sulawesi Barat,319,63,382,5464,426,5890,46691,4847,51538
Maluku,561,144,705,10304,1130,11434,74258,15582,89840
Maluku Utara,380,143,523,6438,886,7324,46495,12445,58940
Papua Barat,126,39,165,1984,492,2476,21791,6834,28625
Papua Barat Daya,125,61,186,2111,525,2636,18518,6597,25115
Papua,196,80,276,3188,828,4016,39424,12224,51648
Papua Selatan,95,37,132,1689,402,2091,22148,6945,29093
Papua Tengah,101,70,171,1716,771,2487,28369,14413,42782
Papua Pegunungan,157,51,208,1736,357,2093,35236,9940,45176
Indonesia,24076,19022,43098,533197,188683,721880,7350167,2753336,10103503