Provinsi,Jumlah Sekolah Raudatul Athfal,Jumlah Guru Raudatul Athfal,Jumlah Murid Raudatul Athfal
Aceh,347,1946,14767
Sumatera Utara,1968,8482,86302
Sumatera Barat,429,1586,14749
Riau,590,2873,24198
Jambi,278,1335,12167
Sumatera Selatan,546,2715,22245
Bengkulu,154,817,6024
Lampung,673,3116,32584
Kepulauan Bangka Belitung,58,279,3103
Kepulauan Riau,160,765,6540
DKI Jakarta,991,4323,37901
Jawa Barat,7181,30192,292906
Jawa Tengah,4891,16923,253720
DI Yogyakarta,258,1175,11206
Jawa Timur,7554,30993,341261
Banten,1525,7135,64200
Bali,118,544,6069
Nusa Tenggara Barat,731,3771,35866
Nusa Tenggara Timur,143,613,5529
Kalimantan Barat,186,826,7864
Kalimantan Tengah,166,887,8964
Kalimantan Selatan,364,1623,16349
Kalimantan Timur,134,662,5414
Kalimantan Utara,34,194,1707
Sulawesi Utara,165,493,5113
Sulawesi Tengah,114,474,4434
Sulawesi Selatan,721,2705,26857
Sulawesi Tenggara,239,1031,9307
Gorontalo,43,180,1967
Sulawesi Barat,163,765,6894
Maluku,88,440,3458
Maluku Utara,73,342,2911
Papua Barat,37,143,1395
Papua Barat Daya,34,132,1361
Papua,20,114,1016
Papua Selatan,13,67,681
Papua Tengah,6,25,199
Papua Pegunungan,1,6,43
Indonesia,31196,130692,1377271