Provinsi,Jumlah Perguruan Tinggi di Bawah Kementerian Agama - Negeri,Jumlah Perguruan Tinggi di Bawah Kementerian Agama - Swasta,Jumlah Perguruan Tinggi di Bawah Kementerian Agama - Negeri + Swasta,Jumlah Tenaga Pendidik di Bawah Kementerian Agama - Negeri,Jumlah Tenaga Pendidik di Bawah Kementerian Agama - Swasta,Jumlah Tenaga Pendidik di Bawah Kementerian Agama - Negeri + Swasta,Jumlah Mahasiswa di Bawah Kementerian Agama - Negeri,Jumlah Mahasiswa di Bawah Kementerian Agama - Swasta,Jumlah Mahasiswa di Bawah Kementerian Agama - Negeri + Swasta
Aceh,7,36,43,1335,852,2187,,765,765
Sumatera Utara,4,46,50,1031,909,1940,2,269,271
Sumatera Barat,3,23,26,775,428,1203,,82,82
Riau,2,30,32,1162,695,1857,1,497,498
Jambi,2,15,17,855,596,1451,2,31,33
Sumatera Selatan,1,29,30,625,515,1140,,285,285
Bengkulu,3,6,9,467,91,558,,67,67
Lampung,2,37,39,792,1048,1840,,735,735
Kepulauan Bangka Belitung,1,,1,188,,188,,,
Kepulauan Riau,1,14,15,101,296,397,,849,849
DKI Jakarta,,30,30,,548,548,,29,29
Jawa Barat,3,180,183,1317,3886,5203,8,2680,2688
Jawa Tengah,7,57,64,2165,1150,3315,,2612,2612
DI Yogyakarta,1,16,17,752,227,979,,496,496
Jawa Timur,7,190,197,2929,4244,7173,9886,2448,12334
Banten,3,39,42,1678,649,2327,11,96,107
Bali,,3,3,,31,31,,,
Nusa Tenggara Barat,1,31,32,509,851,1360,,715,715
Nusa Tenggara Timur,,2,2,,24,24,,,
Kalimantan Barat,1,8,9,265,288,553,,59,59
Kalimantan Tengah,1,5,6,184,62,246,1,,1
Kalimantan Selatan,1,13,14,359,334,693,,3,3
Kalimantan Timur,1,11,12,255,202,457,,194,194
Kalimantan Utara,,2,2,,22,22,,,
Sulawesi Utara,1,3,4,153,109,262,,3,3
Sulawesi Tengah,1,6,7,258,45,303,74,,74
Sulawesi Selatan,4,30,34,1651,852,2503,,169,169
Sulawesi Tenggara,1,10,11,201,189,390,,299,299
Gorontalo,1,,1,246,,246,,,
Sulawesi Barat,1,7,8,76,188,264,,,
Maluku,1,4,5,225,42,267,65,,65
Maluku Utara,1,4,5,161,88,249,,,
Papua Barat,1,2,3,71,24,95,,,
Papua Barat Daya,1,,1,71,,71,,,
Papua,2,6,8,182,82,264,,,
Papua Selatan,,1,1,,12,12,,,
Papua Tengah,,1,1,,29,29,,,
Papua Pegunungan,-,-,-,-,-,-,-,-,-
Indonesia,67,897,964,21039,19608,40647,10050,13383,23433