Provinsi,Jumlah Fungsional Pustakawan-Terampil,Jumlah Fungsional Pustakawan-Mahir,Jumlah Fungsional Pustakawan-Penyelia,Jumlah Fungsional Pustakawan-Ahli Pertama,Jumlah Fungsional Pustakawan-Muda,Jumlah Fungsional Pustakawan-Madya,Jumlah Fungsional Pustakawan-Utama,Jumlah Fungsional Pustakawan-Total
Aceh,8,31,19,60,80,17,1,216
Sumatera Utara,19,3,2,44,66,18,1,153
Sumatera Barat,35,23,8,50,58,16,,190
Riau,8,15,6,42,50,18,2,141
Jambi,1,4,9,9,42,7,,72
Sumatera Selatan,22,9,2,45,72,20,1,171
Bengkulu,9,11,11,15,24,13,,83
Lampung,12,14,3,26,37,12,,104
Kepulauan Bangka Belitung,9,6,3,18,26,9,,71
Kepulauan Riau,10,4,1,17,21,,,53
DKI Jakarta,75,33,21,459,250,144,22,1004
Jawa Barat,72,42,6,157,185,53,4,519
Jawa Tengah,84,47,18,85,122,45,1,402
DI Yogyakarta,34,21,31,44,66,34,1,231
Jawa Timur,58,51,15,102,152,31,5,414
Banten,11,2,1,38,33,23,,108
Bali,11,7,,19,50,30,4,121
Nusa Tenggara Barat,14,10,7,20,42,23,,116
Nusa Tenggara Timur,2,6,11,12,46,4,,81
Kalimantan Barat,24,6,4,22,23,5,,84
Kalimantan Tengah,3,4,3,12,22,6,1,51
Kalimantan Selatan,33,11,5,46,25,13,,133
Kalimantan Timur,22,9,4,24,46,13,,118
Kalimantan Utara,1,,,10,11,,,22
Sulawesi Utara,9,3,9,9,20,18,,68
Sulawesi Tengah,1,6,3,15,34,19,,78
Sulawesi Selatan,26,34,8,82,178,105,4,437
Sulawesi Tenggara,8,7,2,21,61,17,,116
Gorontalo,2,4,2,4,20,8,1,41
Sulawesi Barat,2,1,,9,16,1,,29
Maluku,6,9,1,17,24,5,,62
Maluku Utara,1,,,5,8,,,14
Papua Barat,,,,1,2,,,3
Papua Barat Daya,,,,2,2,,,4
Papua,2,5,3,9,22,11,,52
Papua Selatan,,,,,,1,,1
Papua Tengah,,,,,,,,
Papua Pegunungan,,,,,,,,
Indonesia,634,438,218,1550,1936,739,48,5563