38 Province,,,,,,,,,,,,
,School Enrolment Rate (SER) by Province,,,,,,,,,,,
,7/12/01,,,13-15,,,16-18,,,19-24,,
,2021,2022,2023,2021,2022,2023,2021,2022,2023,2021,2022,2023
ACEH,99.67,99.44,99.43,98.42,97.96,97.72,83.28,83.1,83.41,32.61,31.72,33.1
SUMATERA UTARA,99.32,99.5,99.51,96.99,96.78,96.76,78.66,78.66,79.25,27.05,26.6,28.61
SUMATERA BARAT,99.61,99.55,99.76,96.63,96.52,96.79,84.07,83.71,84.33,36.41,35.41,38.08
RIAU,99.65,99.61,99.65,95.66,95.72,95.89,77.81,77.32,78.15,28.79,28.65,30.07
JAMBI,99.66,99.33,99.49,96.39,96.2,96.01,72.5,72.53,72.46,24.14,23.35,23.98
SUMATERA SELATAN,99.65,99.38,99.41,94.85,95.06,95.27,71.53,70.93,71.71,18.81,18.61,19.79
BENGKULU,99.76,99.49,99.42,97.49,97.73,97.91,79.75,79.31,79.57,30.46,29.42,30.74
LAMPUNG,99.53,99.56,99.61,95.58,95.63,95.93,71.72,71.14,71.74,21.17,20.72,21.66
KEP. BANGKA BELITUNG,99.47,99.41,99.51,93.17,93,93.2,68.15,68.42,69.53,18.02,17.68,17.59
KEP. RIAU,99.62,99.28,99.29,98.85,99.01,99.07,84.4,84.54,84.97,19.83,19.5,20.51
DKI JAKARTA,99.53,99.44,99.49,98.68,97.95,98.17,72.32,72.1,72.5,24.92,24.89,26.52
JAWA BARAT,99.5,99.39,99.4,95.09,95.27,95.75,67.8,68.66,68.58,23.51,23.99,24.72
JAWA TENGAH,99.66,99.58,99.57,96.84,96.77,97.08,70.79,70.82,70.87,23.55,23.76,24.59
DI YOGYAKARTA,99.7,99.59,99.63,99.43,99.01,98.88,89.63,89.95,91.17,51.41,50.43,51.6
JAWA TIMUR,99.4,99.14,99.28,97.76,97.64,97.64,74.14,73.4,74.07,26.27,26.21,26.53
BANTEN,99.45,99.33,99.43,96.77,96.39,96.65,68.94,69.22,69.64,21.59,22.14,23.72
BALI,99.7,99.55,99.61,98.22,97.85,97.95,83.96,83.84,84.73,28.95,30.18,30.92
NUSA TENGGARA BARAT,99.52,99.17,99.46,98.34,97.74,97.95,77.49,77.43,77.46,26.22,25.64,26.42
NUSA TENGGARA TIMUR,98.42,98.59,98.62,95.32,94.83,94.89,75.77,75.55,75.93,30.54,29.36,30.68
KALIMANTAN BARAT,98.64,98.73,98.81,93.14,92.64,92.92,69.38,68.72,69.25,24.57,24.5,25.08
KALIMANTAN TENGAH,99.55,99.2,99.13,95.21,94.61,95.21,66.7,66.32,66.32,24.47,24.29,23.27
KALIMANTAN SELATAN,99.38,99.43,99.3,93.5,94.01,94.12,69.31,69.88,69.95,24.7,24.52,27.18
KALIMANTAN TIMUR,99.6,99.57,99.64,98.9,98.75,98.71,82.01,81.43,81.5,29.86,29.33,32.33
KALIMANTAN UTARA,98.67,98.98,99.22,96.51,97.03,96.96,76.5,76.5,77.03,25.02,25.62,27.63
SULAWESI UTARA,99.37,99.34,99.34,95.41,94.86,95,73.86,74.33,74.55,23.67,23.43,23.57
SULAWESI TENGAH,98.5,98.22,98.34,93.32,93.02,93.13,76.32,75.84,76.29,28.22,27.04,27.58
SULAWESI SELATAN,99.29,99.43,99.49,93.55,93.2,93.22,71.21,70.81,71,35.08,35.07,34.47
SULAWESI TENGGARA,99.16,99.05,99.2,95.06,94.8,95,75.02,74.53,74.6,31.97,31.81,31.73
GORONTALO,99.02,98.93,98.69,92.05,91.83,91.85,71.3,71.68,71.7,31.66,30.06,33.2
SULAWESI BARAT,98.19,98.4,98.31,90.12,89.39,89.47,71.22,70.85,71.57,23.8,23.43,23.98
MALUKU,99.52,99.55,99.59,97.65,97.69,97.97,79.68,79.03,79.9,39.03,40.15,37.41
MALUKU UTARA,98.84,99.13,99.12,97,97.59,97.51,77.01,77.7,78.38,31.23,30.67,28.78
PAPUA BARAT,98.08,98.27,98.41,96.85,97.37,97.42,81.21,80.56,80.58,30.92,30.69,31.15
PAPUA BARAT DAYA,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA,83.43,84.35,83.61,80.02,81.66,80.91,63.98,65.93,64.15,22.9,23.58,23.89
PAPUA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-
PAPUA PEGUNUNGAN,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,99.19,99.1,99.16,95.99,95.92,96.1,73.09,73.15,73.42,26.01,25.99,26.85