"Number of Schools, Teachers, and Pupils in Vocational High Schols Under The Ministry of Education and Culture by Province 2011/2012 - 2015/2016",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Province,Schools,,,,,Teachers,,,,,Pupils,,,,
,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016
Aceh,  149,  169,  170,  184,  189, 3 205, 3 372, 3 521, 6 015, 5 255, 47 474, 49 147, 49 266, 43 214, 46 275
Sumatera Utara,  887,  836,  880,  931,  924, 11 856, 14 177, 14 383, 24 186, 16 713, 319 618, 325 588, 341 406, 276 980, 274 334
Sumatera Barat,  186,  192,  187,  191,  199, 5 195, 5 391, 5 757, 8 096, 6 577, 82 289, 83 881, 86 095, 73 577, 76 131
Riau,  194,  206,  229,  253,  262, 3 705, 3 937, 4 235, 6 967, 5 878, 70 406, 79 236, 79 425, 77 971, 80 469
Jambi,  129,  135,  141,  154,  155, 1 931, 2 076, 2 419, 4 059, 3 246, 39 057, 39 757, 40 854, 41 403, 42 646
Sumatera Selatan,  205,  213,  219,  256,  264, 3 728, 3 974, 4 322, 8 139, 6 012, 81 897, 90 440, 91 164, 90 410, 93 648
Bengkulu,  76,  81,  82,  86,  85, 1 727, 1 802, 1 986, 2 681, 2 151, 25 456, 26 473, 25 533, 24 029, 24 589
Lampung,  326,  338,  366,  400,  410, 4 749, 5 116, 5 534, 11 107, 7 561, 109 736, 112 146, 108 405, 114 038, 118 664
Kepulauan Bangka Belitung,  47,  51,  50,  52,  54,  924,  973, 1 086, 1 673, 1 331, 20 305, 19 995, 20 536, 20 896, 21 307
Kepulauan Riau,  63,  66,  72,  86,  88, 1 024, 1 091, 1 290, 2 019, 1 539, 19 814, 21 399, 21 951, 23 381, 25 194
DKI Jakarta,  598,  615,  592,  600,  586, 10 429, 11 037, 11 379, 15 351, 9 805, 235 587, 226 294, 235 857, 201 811, 202 790
Jawa Barat, 1 765, 1 898, 2 288, 2 442, 2 515, 21 871, 23 986, 24 315, 62 168, 41 363, 717 362, 770 982, 748 265, 858 742, 903 343
Jawa Tengah, 1 270, 1 300, 1 444, 1 490, 1 524, 24 438, 25 847, 26 416, 48 368, 41 347, 616 910, 641 129, 618 640, 687 148, 706 775
DI Yogyakarta,  208,  225,  220,  222,  218, 6 149, 6 350, 6 849, 7 914, 6 618, 84 642, 83 409, 85 114, 81 712, 81 297
Jawa Timur, 1 439, 1 513, 1 648, 1 759, 1 809, 23 235, 24 844, 25 517, 51 704, 38 705, 662 926, 670 865, 698 550, 656 383, 661 227
Banten,  484,  515,  551,  607,  622, 4 916, 5 454, 5 861, 15 194, 9 262, 180 664, 192 821, 187 279, 210 175, 222 772
Bali,  149,  152,  160,  168,  168, 3 228, 3 393, 3 580, 6 612, 4 855, 70 447, 78 619, 79 815, 80 722, 83 255
Nusa Tenggara Barat,  196,  213,  217,  260,  261, 2 263, 2 480, 2 689, 7 637, 5 773, 52 493, 48 261, 48 380, 58 759, 60 804
Nusa Tenggara Timur,  152,  166,  227,  229,  245, 3 200, 3 388, 3 614, 5 949, 5 672, 56 632, 75 058, 74 236, 54 532, 60 537
Kalimantan Barat,  158,  162,  192,  175,  180, 2 359, 2 517, 2 874, 4 022, 3 177, 49 095, 51 420, 51 543, 48 756, 52 320
Kalimantan Tengah,  102,  104,  119,  125,  128, 1 680, 1 793, 1 961, 2 709, 2 332, 22 740, 23 591, 23 648, 25 819, 27 618
Kalimantan Selatan,  97,  104,  104,  115,  118, 2 010, 2 113, 2 536, 3 728, 3 092, 37 745, 40 128, 40 927, 47 867, 49 611
Kalimantan Timur,  211,  216,  226,  208,  207, 3 476, 3 702, 4 089, 5 536, 4 206, 70 878, 66 981, 69 647, 66 829, 68 775
Kalimantan Utara 1,-,-,-,  24,  25,-,-,-,  735,  642,-,-,-, 7 669, 7 640
Sulawesi Utara,  146,  148,  159,  167,  172, 1 946, 2 105, 2 411, 3 752, 3 209, 48 554, 54 254, 54 382, 45 587, 46 607
Sulawesi Tengah,  125,  132,  153,  163,  167, 1 638, 1 772, 2 084, 3 575, 2 861, 30 801, 36 120, 36 206, 35 306, 37 733
Sulawesi Selatan,  361,  374,  405,  415,  414, 5 617, 6 015, 6 404, 12 196, 8 948, 127 561, 134 453, 134 777, 123 119, 121 575
Sulawesi Tenggara,  114,  121,  124,  138,  138, 1 564, 1 688, 1 907, 3 282, 2 827, 25 216, 27 265, 27 330, 26 989, 28 666
Gorontalo,  45,  46,  49,  50,  51,  862,  907, 1 039, 1 528, 1 317, 18 003, 18 866, 18 912, 17 979, 18 471
Sulawesi Barat,  76,  87,  107,  113,  112,  801,  890, 1 061, 2 096, 1 722, 21 206, 24 906, 24 967, 24 962, 23 424
Maluku,  84,  88,  89,  101,  103, 1 564, 1 645, 1 832, 2 256, 2 015, 18 110, 18 464, 18 509, 16 404, 16 279
Maluku Utara,  77,  87,  104,  103,  107,  684,  772,  910, 1 752, 1 461, 14 757, 15 732, 15 769, 14 850, 14 735
Papua Barat,  49,  35,  43,  44,  44,  477,  529,  574, 1 083,  985, 14 504, 13 765, 14 127, 10 588, 10 440
Papua,  88,  85,  109,  110,  115, 1 623, 1 720, 1 966, 2 589, 2 237, 26 272, 28 074, 28 142, 22 638, 25 036
Indonesia, 10 256, 10 673, 11 726, 12 421, 12 659, 164 074, 176 856, 186 401, 346 678, 260 694,4 019 157,4 189 519,4 199 657,4 211 245,4 334 987
,,,,,,,,,,,,,,,
Note: 1 Data of 2011/2012-2013/2014 were included in Kalimantan Province ,,,,,,,,,,,,,,,
Note: 2 The teachers who tought in two schools or more counted in every school,,,,,,,,,,,,,,,
Source: Ministry of Educations and Culture,,,,,,,,,,,,,,,
Data were quoted from Statistical Yearbook of Indonesia,,,,,,,,,,,,,,,