Provinsi,Indeks Pembangunan Literasi Masyarakat,Pemerataan Layanan Perpustakaan,Ketercukupan Koleksi Perpustakaan,Rasio Ketercukupan Tenaga Perpustakaan,Tingkat Kunjungan Masyarakat per hari,Perpustakaan yang dibina sesuai SNP,Keterlibatan Masyarakat dalam Kegiatan Sosialisasi Perpustakaan,Jumlah Anggota Perpustakaan
Aceh,72.42,0.3212,0.3815,1,0.3666,1,1,1
Sumatera Utara,62.39,0.3606,0.3534,0.4325,0.2211,1,1,1
Sumatera Barat,82.47,0.607,0.7438,1,0.4221,1,1,1
Riau,69.24,0.3503,0.4176,1,0.0787,1,1,1
Jambi,65.43,0.4543,0.2781,0.5117,0.3362,1,1,1
Sumatera Selatan,72.24,0.4531,0.4186,0.921,0.2643,1,1,1
Bengkulu,65.96,0.6097,0.2859,0.4734,0.2481,1,1,1
Lampung,64.81,0.426,0.5423,0.4112,0.1568,1,1,1
Kepulauan Bangka Belitung,84.59,0.7356,0.8484,1,0.3371,1,1,1
Kepulauan Riau,74.24,0.6712,0.4635,0.842,0.22,1,1,1
DKI Jakarta,73.07,0.6047,0.1685,0.3418,1,1,1,1
Jawa Barat,72.76,0.5236,0.2746,0.9023,0.393,1,1,1
Jawa Tengah,70.57,0.5946,0.3576,0.5914,0.3962,1,1,1
DI Yogyakarta,86.39,0.7625,0.7742,1,0.5106,1,1,1
Jawa Timur,78.6,0.3809,0.3951,0.7258,1,1,1,1
Banten,61.88,0.3197,0.132,0.2761,0.6042,1,1,1
Bali,66.05,0.6813,0.298,0.4604,0.1836,1,1,1
Nusa Tenggara Barat,60.42,0.3673,0.2031,0.6924,0.1668,1,0.7998,1
Nusa Tenggara Timur,62.62,0.4189,0.3863,0.448,0.1301,1,1,1
Kalimantan Barat,75.15,0.5361,0.5984,0.7638,0.362,1,1,1
Kalimantan Tengah,72.5,0.3637,0.4444,1,0.267,1,1,1
Kalimantan Selatan,81.16,0.6251,0.6683,1,0.3878,1,1,1
Kalimantan Timur,78.34,0.5953,0.623,0.9432,0.3222,1,1,1
Kalimantan Utara,66.73,0.2972,0.2787,1,0.0953,1,1,1
Sulawesi Utara,62.54,0.4065,0.2356,0.4214,0.3141,1,1,1
Sulawesi Tengah,71.7,0.4278,0.4169,0.6682,0.5062,1,1,1
Sulawesi Selatan,88.24,0.5404,0.7668,1,0.8694,1,1,1
Sulawesi Tenggara,72.31,0.4904,0.5213,0.8758,0.1744,1,1,1
Gorontalo,77.46,0.4969,0.3654,1,0.56,1,1,1
Sulawesi Barat,63.65,0.3344,0.4046,1,0.094,1,0.6228,1
Maluku,58.55,0.3501,0.1791,0.4088,0.1603,1,1,1
Maluku Utara,61.7,0.3139,0.2544,0.559,0.4302,0.7613,1,1
Papua Barat,65.86,0.1957,0.5987,0.7155,0.1002,1,1,1
Papua Barat Daya,54.14,0.1619,0.1838,0.3885,0.0556,1,1,1
Papua,60.75,0.2049,0.2217,0.5682,0.2573,1,1,1
Papua Selatan,49.78,0.0843,0.1102,0.1216,0.1685,1,1,1
Papua Tengah,48.93,0.1165,0.0938,0.1342,0.0806,1,1,1
Papua Pegunungan,35.25,0.0264,0.0333,0.0121,0.0376,1,1,0.3581
Indonesia,73.52,0.4531,0.3793,0.7811,0.5327,1,1,1