Provinsi,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SD,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMP,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMA,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - SMK,Desa/Kelurahan Yang Memiliki Fasilitas Sekolah - Perguruan Tinggi
Aceh,3382,1421,735,205,119
Sumatera Utara,5003,2319,1147,712,202
Sumatera Barat,1256,808,415,180,102
Riau,1811,1210,631,259,80
Jambi,1484,810,393,169,42
Sumatera Selatan,2996,1410,720,252,99
Bengkulu,1187,488,194,93,27
Lampung,2537,1437,695,405,96
Kepulauan Bangka Belitung,391,217,85,49,16
Kepulauan Riau,408,249,132,62,33
DKI Jakarta,264,255,219,207,129
Jawa Barat,5948,4314,2191,2070,477
Jawa Tengah,8423,3692,1343,1204,314
DI Yogyakarta,437,310,148,139,66
Jawa Timur,8442,4905,2587,1690,465
Banten,1544,1259,702,540,134
Bali,710,313,148,131,41
Nusa Tenggara Barat,1157,924,587,287,79
Nusa Tenggara Timur,3331,1699,667,341,60
Kalimantan Barat,2079,1153,437,189,58
Kalimantan Tengah,1545,799,274,120,22
Kalimantan Selatan,1878,777,323,111,56
Kalimantan Timur,1002,551,243,151,48
Kalimantan Utara,312,158,63,31,13
Sulawesi Utara,1564,716,250,177,70
Sulawesi Tengah,1928,966,345,168,42
Sulawesi Selatan,2972,1789,824,333,155
Sulawesi Tenggara,1875,911,415,154,40
Gorontalo,658,363,109,55,16
Sulawesi Barat,631,406,168,112,23
Maluku,1104,626,274,100,45
Maluku Utara,1090,616,294,142,25
Papua Barat,501,147,59,20,16
Papua Barat Daya,460,164,78,32,18
Papua,655,239,106,45,27
Papua Selatan,545,110,32,24,10
Papua Tengah,430,135,50,36,16
Papua Pegunungan,530,169,48,15,8
Indonesia,72470,38835,18131,11010,3289
,,,,,
Catatan,,,,,
1  Desa pada tabel ini termasuk Unit Permukiman Transmigrasi (UPT) yang masih dibina oleh kementerian terkait dan nagari di Provinsi Sumatera Barat/ Villages in this table include Transmigration Settlement Unit which is still  fostered by the relevant ministries and the nagari in the Province of Sumatera Barat,,,,,
Periode pendataan Podes 2024 dilakukan Pada Mei 2024/The 2024 Podes data collection period conducted in May 2024 ,,,,,